,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
70,BBC,Thu Jul 05 16:02:03 +0000 2018,"In South Africa, three women are killed by their partners every day. https://t.co/Vg7jDZJgU6",-0.6705,0.0,0.727,0.273,71
71,BBC,Thu Jul 05 16:00:34 +0000 2018,"RT @BBCNewsPR: Watch the evolution of our evening news jingles as we celebrate the 64th anniversary of BBC TV News. Show your age, which on…",0.5719,0.134,0.866,0.0,72
72,BBC,Thu Jul 05 15:46:20 +0000 2018,RT @bbceastenders: It's coming home. #ENG https://t.co/Dp1R1SVjB4,0.0,0.0,1.0,0.0,73
73,BBC,Thu Jul 05 15:36:29 +0000 2018,"At least two suspected rhino poachers have been mauled to death and eaten by lions on a South African game reserve,… https://t.co/m8V0TpFjsd",-0.7003,0.0,0.766,0.234,74
74,BBC,Thu Jul 05 14:02:04 +0000 2018,🌡🔥☀️From strength to bad breath: these are the weird things that happen to your body in extreme heat. 👉… https://t.co/sSsoIgrD5S,-0.25,0.126,0.669,0.205,75
75,BBC,Thu Jul 05 13:00:14 +0000 2018,😍💗 Wouldn't the world be a better place if more people were kind like this? https://t.co/2v0UXIcXN8,0.8428,0.43,0.57,0.0,76
76,BBC,Thu Jul 05 12:00:01 +0000 2018,"🛍🛒 Is it possible to shop without buying plastic?
#PlasticsAction https://t.co/nV0kMA6UzE",0.0,0.0,1.0,0.0,77
77,BBC,Thu Jul 05 11:32:57 +0000 2018,RT @bbcstories: Indian-born Dennis Moss was inspired by tragedy to join the Welsh Ambulance Service in 1976 - and he's still working there…,0.0,0.188,0.66,0.153,78
78,BBC,Thu Jul 05 11:32:26 +0000 2018,"RT @bbcthesocial: Go to a festival without destroying the planet 🌍

(you might need to ditch the glitter) https://t.co/RnlRy4lwjC",0.7289,0.254,0.746,0.0,79
79,BBC,Thu Jul 05 11:26:56 +0000 2018,RT @bbcthree: Jack tragically died whilst playing the choking game. Now his mum wants to warn other YouTubers before it's too late. https:/…,-0.872,0.057,0.571,0.371,80
80,BBC,Thu Jul 05 11:22:56 +0000 2018,"RT @BBCNews: ""We knew we didn't have to be frightened of being ill""

Beryl had life-saving treatment on the NHS just weeks after it began #…",-0.6908,0.0,0.808,0.192,81
81,BBC,Thu Jul 05 11:11:25 +0000 2018,RT @BBCWales: Staff from across the #NHS in Wales come together to create a one-off #NHSLipSync of Jess Glynne's song Hold My Hand for #NHS…,0.6486,0.194,0.806,0.0,82
82,BBC,Thu Jul 05 11:03:07 +0000 2018,From a true-crime tale of 1930s Shanghai to a contemporary Native American poetry collection: these are the ten boo… https://t.co/y5fZIoxLqa,0.0,0.0,1.0,0.0,83
83,BBC,Thu Jul 05 09:46:36 +0000 2018,"RT @BBC6Music: ""We need to radically look at mental health as the key thing""
- best-selling author and mental health activist @matthaig1 sp…",0.0,0.0,1.0,0.0,84
84,BBC,Thu Jul 05 08:00:04 +0000 2018,🐚🦕 She sold sea shells by the sea shore... and helped discover dinosaurs in the process! https://t.co/Pdh5RwpAwr,0.0,0.0,1.0,0.0,85
85,BBC,Thu Jul 05 07:31:03 +0000 2018,🙊📱💬Will we ever stop speaking and just text instead? @BBC_Culture investigates...  https://t.co/Mp1yApI6C5 https://t.co/e21jsc4lrb,-0.296,0.0,0.845,0.155,86
86,BBC,Thu Jul 05 07:01:05 +0000 2018,"Chloe died of bone cancer at 18 after she was refused a drug trial for being too young. Now, her mum Debbie is tryi… https://t.co/Fz1R6aiqJC",-0.8807,0.0,0.673,0.327,87
87,BBC,Wed Jul 04 19:03:04 +0000 2018,"Award-winning comedian Rich Hall explores the American dream. 🇺🇸

Rich Hall's Working for the American Dream | 9pm… https://t.co/cwNFVC4hGk",0.9393,0.561,0.439,0.0,88
